"Precinct: 06001 ","Polling Place: ",1,,,"Precinct: 06002 ","Polling Place: ",1,,,"Precinct: 06003 ","Polling Place: ",1,,
"Felelah Public School, Felelah ",,,,,"Felelah Public School, Felelah ",,,,,"Distribution Center, E. J. Yancy Camp",,,,
"Registered Voters: ",550,,,,"Registered Voters: ",572,,,,"Registered Voters: ",359,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,205,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,215,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,80
"WEAH, George Manneh (CDC) ",,,,57,"WEAH, George Manneh (CDC) ",,,,55,"WEAH, George Manneh (CDC) ",,,,32
,"Valid Votes: ",,,262,,"Valid Votes: ",,,270,,"Valid Votes: ",,,112
,"Invalid Votes: ",,,12,,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,3
,"Total Votes: ",,,274,,"Total Votes: ",,,275,,"Total Votes: ",,,115
"Precinct: 06068 ","Polling Place: ",2,,,"Precinct: 06068 ","Polling Place: ",3,,,"Precinct: 06069 ","Polling Place: ",1,,
"Distribution Center, E. J. Yancy Camp ",,,,,"Distribution Center, E. J. Yancy Camp ",,,,,"Distribution Center, E. J. Yancy Camp",,,,
"Registered Voters: ",342,,,,"Registered Voters: ",315,,,,"Registered Voters: ",392,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,22,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,21,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,108
"WEAH, George Manneh (CDC) ",,,,5,"WEAH, George Manneh (CDC) ",,,,3,"WEAH, George Manneh (CDC) ",,,,37
,"Valid Votes: ",,,27,,"Valid Votes: ",,,24,,"Valid Votes: ",,,145
,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,1,,"Invalid Votes: ",,,8
,"Total Votes: ",,,27,,"Total Votes: ",,,25,,"Total Votes: ",,,153
"Precinct: 06069 ","Polling Place: ",2,,,"Precinct: 06069 ","Polling Place: ",3,,,"Precinct: 06070 ","Polling Place: ",1,,
"Distribution Center, E. J. Yancy Camp ",,,,,"Distribution Center, E. J. Yancy Camp ",,,,,"Distribution Center, E. J. Yancy Camp",,,,
"Registered Voters: ",302,,,,"Registered Voters: ",348,,,,"Registered Voters: ",445,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,14,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,18,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,121
"WEAH, George Manneh (CDC) ",,,,6,"WEAH, George Manneh (CDC) ",,,,5,"WEAH, George Manneh (CDC) ",,,,46
,"Valid Votes: ",,,20,,"Valid Votes: ",,,23,,"Valid Votes: ",,,167
,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,4
,"Total Votes: ",,,20,,"Total Votes: ",,,23,,"Total Votes: ",,,171
"Precinct: 06070 ","Polling Place: ",2,,,"Precinct: 06070 ","Polling Place: ",3,,,"Precinct: 06071 ","Polling Place: ",1,,
"Distribution Center, E. J. Yancy Camp ",,,,,"Distribution Center, E. J. Yancy Camp ",,,,,"Distribution Center, Maimu 1, 2, And 3 Camp",,,,
"Registered Voters: ",389,,,,"Registered Voters: ",396,,,,"Registered Voters: ",68,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,71,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,37,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,25
"WEAH, George Manneh (CDC) ",,,,16,"WEAH, George Manneh (CDC) ",,,,9,"WEAH, George Manneh (CDC) ",,,,6
,"Valid Votes: ",,,87,,"Valid Votes: ",,,46,,"Valid Votes: ",,,31
,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,0
,"Total Votes: ",,,93,,"Total Votes: ",,,48,,"Total Votes: ",,,31
"Precinct: 06071 ","Polling Place: ",2,,,"Precinct: 06071 ","Polling Place: ",3,,,"Precinct: 06072 ","Polling Place: ",1,,
"Distribution Center, Maimu 1, 2, And 3 Camp ",,,,,"Distribution Center, Maimu 1, 2, And 3 Camp ",,,,,"Distribution Center, Maimu 1, 2, And 3 Camp",,,,
"Registered Voters: ",580,,,,"Registered Voters: ",568,,,,"Registered Voters: ",55,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,27,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,23,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,48
"WEAH, George Manneh (CDC) ",,,,9,"WEAH, George Manneh (CDC) ",,,,8,"WEAH, George Manneh (CDC) ",,,,2
,"Valid Votes: ",,,36,,"Valid Votes: ",,,31,,"Valid Votes: ",,,50
,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,0
,"Total Votes: ",,,36,,"Total Votes: ",,,31,,"Total Votes: ",,,50
"Precinct: 06072 ","Polling Place: ",2,,,"Precinct: 06072 ","Polling Place: ",3,,,"Precinct: 06072 ","Polling Place: ",4,,
"Distribution Center, Maimu 1, 2, And 3 Camp ",,,,,"Distribution Center, Maimu 1, 2, And 3 Camp ",,,,,"Distribution Center, Maimu 1, 2, And 3 Camp",,,,
"Registered Voters: ",584,,,,"Registered Voters: ",577,,,,"Registered Voters: ",543,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,16,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,24,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,19
"WEAH, George Manneh (CDC) ",,,,6,"WEAH, George Manneh (CDC) ",,,,5,"WEAH, George Manneh (CDC) ",,,,3
,"Valid Votes: ",,,22,,"Valid Votes: ",,,29,,"Valid Votes: ",,,22
,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,1
,"Total Votes: ",,,22,,"Total Votes: ",,,29,,"Total Votes: ",,,23
"Precinct: 06073 ","Polling Place: ",1,,,"Precinct: 06073 ","Polling Place: ",2,,,"Precinct: 06073 ","Polling Place: ",3,,
"Distribution Center, Maimu 1, 2, And 3 Camp ",,,,,"Distribution Center, Maimu 1, 2, And 3 Camp ",,,,,"Distribution Center, Maimu 1, 2, And 3 Camp",,,,
"Registered Voters: ",111,,,,"Registered Voters: ",468,,,,"Registered Voters: ",463,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,27,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,7,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,12
"WEAH, George Manneh (CDC) ",,,,11,"WEAH, George Manneh (CDC) ",,,,6,"WEAH, George Manneh (CDC) ",,,,3
,"Valid Votes: ",,,38,,"Valid Votes: ",,,13,,"Valid Votes: ",,,15
,"Invalid Votes: ",,,7,,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,0
,"Total Votes: ",,,45,,"Total Votes: ",,,13,,"Total Votes: ",,,15
"Precinct: 06073 ","Polling Place: ",4,,,"Precinct: 06074 ","Polling Place: ",1,,,"Precinct: 06074 ","Polling Place: ",2,,
"Distribution Center, Maimu 1, 2, And 3 Camp ",,,,,"Distribution Center, Maimu 1, 2, And 3 Camp ",,,,,"Distribution Center, Maimu 1, 2, And 3 Camp",,,,
"Registered Voters: ",454,,,,"Registered Voters: ",59,,,,"Registered Voters: ",402,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,14,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,33,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,58
"WEAH, George Manneh (CDC) ",,,,5,"WEAH, George Manneh (CDC) ",,,,4,"WEAH, George Manneh (CDC) ",,,,4
,"Valid Votes: ",,,19,,"Valid Votes: ",,,37,,"Valid Votes: ",,,62
,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,1,,"Invalid Votes: ",,,1
,"Total Votes: ",,,19,,"Total Votes: ",,,38,,"Total Votes: ",,,63
"Precinct: 06074 ","Polling Place: ",3,,,"Precinct: 06074 ","Polling Place: ",4,,,"Precinct: 06075 ","Polling Place: ",1,,
"Distribution Center, Maimu 1, 2, And 3 Camp ",,,,,"Distribution Center, Maimu 1, 2, And 3 Camp ",,,,,"Distribution Center, Maimu 1, 2, And 3 Camp",,,,
"Registered Voters: ",413,,,,"Registered Voters: ",426,,,,"Registered Voters: ",6,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,6,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,20,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,4
"WEAH, George Manneh (CDC) ",,,,9,"WEAH, George Manneh (CDC) ",,,,8,"WEAH, George Manneh (CDC) ",,,,2
,"Valid Votes: ",,,15,,"Valid Votes: ",,,28,,"Valid Votes: ",,,6
,"Invalid Votes: ",,,1,,"Invalid Votes: ",,,1,,"Invalid Votes: ",,,0
,"Total Votes: ",,,16,,"Total Votes: ",,,29,,"Total Votes: ",,,6
"Precinct: 06075 ","Polling Place: ",2,,,"Precinct: 06075 ","Polling Place: ",3,,,"Precinct: 06075 ","Polling Place: ",4,,
"Distribution Center, Maimu 1, 2, And 3 Camp ",,,,,"Distribution Center, Maimu 1, 2, And 3 Camp ",,,,,"Distribution Center, Maimu 1, 2, And 3 Camp",,,,
"Registered Voters: ",445,,,,"Registered Voters: ",443,,,,"Registered Voters: ",420,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,8,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,4,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,55
"WEAH, George Manneh (CDC) ",,,,2,"WEAH, George Manneh (CDC) ",,,,6,"WEAH, George Manneh (CDC) ",,,,1
,"Valid Votes: ",,,10,,"Valid Votes: ",,,10,,"Valid Votes: ",,,56
,"Invalid Votes: ",,,1,,"Invalid Votes: ",,,1,,"Invalid Votes: ",,,0
,"Total Votes: ",,,11,,"Total Votes: ",,,11,,"Total Votes: ",,,56
"Precinct: 06076 ","Polling Place: ",1,,,"Precinct: 06076 ","Polling Place: ",2,,,"Precinct: 06076 ","Polling Place: ",3,,
"Distribution Center, Maimu 1, 2, And 3 Camp ",,,,,"Distribution Center, Maimu 1, 2, And 3 Camp ",,,,,"Distribution Center, Maimu 1, 2, And 3 Camp",,,,
"Registered Voters: ",265,,,,"Registered Voters: ",531,,,,"Registered Voters: ",534,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,83,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,6,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,15
"WEAH, George Manneh (CDC) ",,,,19,"WEAH, George Manneh (CDC) ",,,,6,"WEAH, George Manneh (CDC) ",,,,5
,"Valid Votes: ",,,102,,"Valid Votes: ",,,12,,"Valid Votes: ",,,20
,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,0
,"Total Votes: ",,,104,,"Total Votes: ",,,12,,"Total Votes: ",,,20
"Precinct: 06077 ","Polling Place: ",1,,,"Precinct: 06077 ","Polling Place: ",2,,,"Precinct: 06077 ","Polling Place: ",3,,
"Distribution Center, Salala Idp Camp ",,,,,"Distribution Center, Salala Idp Camp ",,,,,"Distribution Center, Salala Idp Camp",,,,
"Registered Voters: ",116,,,,"Registered Voters: ",554,,,,"Registered Voters: ",575,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,24,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,172,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,209
"WEAH, George Manneh (CDC) ",,,,9,"WEAH, George Manneh (CDC) ",,,,134,"WEAH, George Manneh (CDC) ",,,,149
,"Valid Votes: ",,,33,,"Valid Votes: ",,,306,,"Valid Votes: ",,,358
,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,26,,"Invalid Votes: ",,,8
,"Total Votes: ",,,35,,"Total Votes: ",,,332,,"Total Votes: ",,,366
"Precinct: 06077 ","Polling Place: ",4,,,"Precinct: 06078 ","Polling Place: ",1,,,"Precinct: 06078 ","Polling Place: ",2,,
"Distribution Center, Salala Idp Camp ",,,,,"Distribution Center, Salala Idp Camp ",,,,,"Distribution Center, Salala Idp Camp",,,,
"Registered Voters: ",546,,,,"Registered Voters: ",85,,,,"Registered Voters: ",486,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,178,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,11,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,174
"WEAH, George Manneh (CDC) ",,,,134,"WEAH, George Manneh (CDC) ",,,,10,"WEAH, George Manneh (CDC) ",,,,112
,"Valid Votes: ",,,312,,"Valid Votes: ",,,21,,"Valid Votes: ",,,286
,"Invalid Votes: ",,,20,,"Invalid Votes: ",,,3,,"Invalid Votes: ",,,15
,"Total Votes: ",,,332,,"Total Votes: ",,,24,,"Total Votes: ",,,301
"Precinct: 06078 ","Polling Place: ",3,,,"Precinct: 06078 ","Polling Place: ",4,,,"Precinct: 06079 ","Polling Place: ",1,,
"Distribution Center, Salala Idp Camp ",,,,,"Distribution Center, Salala Idp Camp ",,,,,"Distribution Center, Salala Idp Camp",,,,
"Registered Voters: ",508,,,,"Registered Voters: ",503,,,,"Registered Voters: ",120,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,213,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,203,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,19
"WEAH, George Manneh (CDC) ",,,,112,"WEAH, George Manneh (CDC) ",,,,98,"WEAH, George Manneh (CDC) ",,,,8
,"Valid Votes: ",,,325,,"Valid Votes: ",,,301,,"Valid Votes: ",,,27
,"Invalid Votes: ",,,1,,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,4
,"Total Votes: ",,,326,,"Total Votes: ",,,305,,"Total Votes: ",,,31
"Precinct: 06079 ","Polling Place: ",2,,,"Precinct: 06079 ","Polling Place: ",3,,,"Precinct: 06079 ","Polling Place: ",4,,
"Distribution Center, Salala Idp Camp ",,,,,"Distribution Center, Salala Idp Camp ",,,,,"Distribution Center, Salala Idp Camp",,,,
"Registered Voters: ",439,,,,"Registered Voters: ",452,,,,"Registered Voters: ",451,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,161,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,149,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,162
"WEAH, George Manneh (CDC) ",,,,112,"WEAH, George Manneh (CDC) ",,,,134,"WEAH, George Manneh (CDC) ",,,,109
,"Valid Votes: ",,,273,,"Valid Votes: ",,,283,,"Valid Votes: ",,,271
,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,10,,"Invalid Votes: ",,,16
,"Total Votes: ",,,277,,"Total Votes: ",,,293,,"Total Votes: ",,,287
"Precinct: 06080 ","Polling Place: ",1,,,"Precinct: 06080 ","Polling Place: ",2,,,"Precinct: 06080 ","Polling Place: ",3,,
"Distribution Center, Tumutu Camp ",,,,,"Distribution Center, Tumutu Camp ",,,,,"Distribution Center, Tumutu Camp ",,,,
"Registered Voters: ",223,,,,"Registered Voters: ",425,,,,"Registered Voters: ",458,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,59,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,26,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,43
"WEAH, George Manneh (CDC) ",,,,16,"WEAH, George Manneh (CDC) ",,,,29,"WEAH, George Manneh (CDC) ",,,,24
,"Valid Votes: ",,,75,,"Valid Votes: ",,,55,,"Valid Votes: ",,,67
,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,1,,"Invalid Votes: ",,,1
,"Total Votes: ",,,75,,"Total Votes: ",,,56,,"Total Votes: ",,,68
"Precinct: 06080 ","Polling Place: ",4,,,"Precinct: 06501 ","Polling Place: ",1,,,"Precinct: 06501 ","Polling Place: ",2,,
"Distribution Center, Tumutu Camp ",,,,,"Belefanai Health Centre, Belefanai City ",,,,,"Belefanai Health Centre, Belefanai City",,,,
"Registered Voters: ",431,,,,"Registered Voters: ",593,,,,"Registered Voters: ",598,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,39,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,146,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,184
"WEAH, George Manneh (CDC) ",,,,33,"WEAH, George Manneh (CDC) ",,,,99,"WEAH, George Manneh (CDC) ",,,,92
,"Valid Votes: ",,,72,,"Valid Votes: ",,,245,,"Valid Votes: ",,,276
,"Invalid Votes: ",,,1,,"Invalid Votes: ",,,19,,"Invalid Votes: ",,,9
,"Total Votes: ",,,73,,"Total Votes: ",,,264,,"Total Votes: ",,,285
"Precinct: 06501 ","Polling Place: ",3,,,"Precinct: 06502 ","Polling Place: ",1,,,"Precinct: 06502 ","Polling Place: ",2,,
"Belefanai Health Centre, Belefanai City ",,,,,"Gbansue Health Centre, Gbansue Sulama Tow n ",,,,,"Gbansue Health Centre, Gbansue Sulama Tow n",,,,
"Registered Voters: ",581,,,,"Registered Voters: ",379,,,,"Registered Voters: ",402,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,161,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,141,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,169
"WEAH, George Manneh (CDC) ",,,,103,"WEAH, George Manneh (CDC) ",,,,47,"WEAH, George Manneh (CDC) ",,,,50
,"Valid Votes: ",,,264,,"Valid Votes: ",,,188,,"Valid Votes: ",,,219
,"Invalid Votes: ",,,10,,"Invalid Votes: ",,,11,,"Invalid Votes: ",,,15
,"Total Votes: ",,,274,,"Total Votes: ",,,199,,"Total Votes: ",,,234
"Precinct: 06503 ","Polling Place: ",1,,,"Precinct: 06503 ","Polling Place: ",2,,,"Precinct: 06504 ","Polling Place: ",1,,
"Shankpala Public School , Shankpalai Tow n ",,,,,"Shankpala Public School , Shankpalai Tow n ",,,,,"Seed Bank Building, Yow ee Tow n",,,,
"Registered Voters: ",548,,,,"Registered Voters: ",541,,,,"Registered Voters: ",441,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,249,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,318,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,43
"WEAH, George Manneh (CDC) ",,,,105,"WEAH, George Manneh (CDC) ",,,,59,"WEAH, George Manneh (CDC) ",,,,152
,"Valid Votes: ",,,354,,"Valid Votes: ",,,377,,"Valid Votes: ",,,195
,"Invalid Votes: ",,,9,,"Invalid Votes: ",,,1,,"Invalid Votes: ",,,3
,"Total Votes: ",,,363,,"Total Votes: ",,,378,,"Total Votes: ",,,198
"Precinct: 06504 ","Polling Place: ",2,,,"Precinct: 06505 ","Polling Place: ",1,,,"Precinct: 06505 ","Polling Place: ",2,,
"Seed Bank Building, Yow ee Tow n ",,,,,"Mbellequoi Tow n Public School, Mbellequoi Tow n ",,,,,"Mbellequoi Tow n Public School, Mbellequoi Tow n",,,,
"Registered Voters: ",413,,,,"Registered Voters: ",408,,,,"Registered Voters: ",364,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,28,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,70,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,85
"WEAH, George Manneh (CDC) ",,,,155,"WEAH, George Manneh (CDC) ",,,,165,"WEAH, George Manneh (CDC) ",,,,133
,"Valid Votes: ",,,183,,"Valid Votes: ",,,235,,"Valid Votes: ",,,218
,"Invalid Votes: ",,,9,,"Invalid Votes: ",,,11,,"Invalid Votes: ",,,11
,"Total Votes: ",,,192,,"Total Votes: ",,,246,,"Total Votes: ",,,229
"Precinct: 06506 ","Polling Place: ",1,,,"Precinct: 06506 ","Polling Place: ",2,,,"Precinct: 06507 ","Polling Place: ",1,,
"Seed Bank Building, Naama Tow n ",,,,,"Seed Bank Building, Naama Tow n ",,,,,"Kollie-ta Palava Hut, Kollie-ta Tow n",,,,
"Registered Voters: ",493,,,,"Registered Voters: ",531,,,,"Registered Voters: ",571,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,271,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,301,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,286
"WEAH, George Manneh (CDC) ",,,,38,"WEAH, George Manneh (CDC) ",,,,57,"WEAH, George Manneh (CDC) ",,,,81
,"Valid Votes: ",,,309,,"Valid Votes: ",,,358,,"Valid Votes: ",,,367
,"Invalid Votes: ",,,18,,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,38
,"Total Votes: ",,,327,,"Total Votes: ",,,358,,"Total Votes: ",,,405
"Precinct: 06508 ","Polling Place: ",1,,,"Precinct: 06508 ","Polling Place: ",2,,,"Precinct: 06509 ","Polling Place: ",1,,
"Farvey Palava Hut, Farvey Tow n ",,,,,"Farvey Palava Hut, Farvey Tow n ",,,,,"Gbalatuah Health Centre, Gbalatuah City",,,,
"Registered Voters: ",364,,,,"Registered Voters: ",330,,,,"Registered Voters: ",472,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,68,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,107,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,124
"WEAH, George Manneh (CDC) ",,,,178,"WEAH, George Manneh (CDC) ",,,,143,"WEAH, George Manneh (CDC) ",,,,90
,"Valid Votes: ",,,246,,"Valid Votes: ",,,250,,"Valid Votes: ",,,214
,"Invalid Votes: ",,,20,,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,5
,"Total Votes: ",,,266,,"Total Votes: ",,,254,,"Total Votes: ",,,219
"Precinct: 06509 ","Polling Place: ",2,,,"Precinct: 06509 ","Polling Place: ",3,,,"Precinct: 06510 ","Polling Place: ",1,,
"Gbalatuah Health Centre, Gbalatuah City ",,,,,"Gbalatuah Health Centre, Gbalatuah City ",,,,,"Victoria Tolbert School, Jorw ah Tow n",,,,
"Registered Voters: ",498,,,,"Registered Voters: ",473,,,,"Registered Voters: ",559,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,142,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,128,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,302
"WEAH, George Manneh (CDC) ",,,,93,"WEAH, George Manneh (CDC) ",,,,78,"WEAH, George Manneh (CDC) ",,,,48
,"Valid Votes: ",,,235,,"Valid Votes: ",,,206,,"Valid Votes: ",,,350
,"Invalid Votes: ",,,3,,"Invalid Votes: ",,,3,,"Invalid Votes: ",,,26
,"Total Votes: ",,,238,,"Total Votes: ",,,209,,"Total Votes: ",,,376
"Precinct: 06511 ","Polling Place: ",1,,,"Precinct: 06511 ","Polling Place: ",2,,,"Precinct: 06511 ","Polling Place: ",3,,
"Christian T. Normal School, Gbarnga Siaquelleh ",,,,,"Christian T. Normal School, Gbarnga Siaquelleh ",,,,,"Christian T. Normal School, Gbarnga Siaquelleh",,,,
"Registered Voters: ",394,,,,"Registered Voters: ",412,,,,"Registered Voters: ",411,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
