"Precinct: 30001 ","Polling Place: ",1,,,"Precinct: 30002 ","Polling Place: ",1,,,"Precinct: 30003 ","Polling Place: ",1,,
"WEAH, George Manneh (CDC) ",,,,99,"WEAH, George Manneh (CDC) ",,,,95,"WEAH, George Manneh (CDC) ",,,,75
,"Valid Votes: ",,,391,,"Valid Votes: ",,,387,,"Valid Votes: ",,,370
,"Invalid Votes: ",,,12,,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,11
,"Total Votes: ",,,403,,"Total Votes: ",,,392,,"Total Votes: ",,,381
"Precinct: 30536 ","Polling Place: ",1,,,"Precinct: 30536 ","Polling Place: ",2,,,"Precinct: 30536 ","Polling Place: ",3,,
"Soul Clinic Mission I, Soul Clinic Community ",,,,,"Soul Clinic Mission I, Soul Clinic Community ",,,,,"Soul Clinic Mission I, Soul Clinic Community",,,,
"Registered Voters: ",530,,,,"Registered Voters: ",482,,,,"Registered Voters: ",518,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,283,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,244,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,270
"WEAH, George Manneh (CDC) ",,,,84,"WEAH, George Manneh (CDC) ",,,,92,"WEAH, George Manneh (CDC) ",,,,92
,"Valid Votes: ",,,367,,"Valid Votes: ",,,336,,"Valid Votes: ",,,362
,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,9
,"Total Votes: ",,,373,,"Total Votes: ",,,344,,"Total Votes: ",,,371
"Precinct: 30536 ","Polling Place: ",4,,,"Precinct: 30536 ","Polling Place: ",5,,,"Precinct: 30536 ","Polling Place: ",6,,
"Soul Clinic Mission I, Soul Clinic Community ",,,,,"Soul Clinic Mission I, Soul Clinic Community ",,,,,"Soul Clinic Mission I, Soul Clinic Community",,,,
"Registered Voters: ",507,,,,"Registered Voters: ",539,,,,"Registered Voters: ",551,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,261,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,282,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,284
"WEAH, George Manneh (CDC) ",,,,106,"WEAH, George Manneh (CDC) ",,,,99,"WEAH, George Manneh (CDC) ",,,,98
,"Valid Votes: ",,,367,,"Valid Votes: ",,,381,,"Valid Votes: ",,,382
,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,13
,"Total Votes: ",,,373,,"Total Votes: ",,,387,,"Total Votes: ",,,395
"Precinct: 30537 ","Polling Place: ",1,,,"Precinct: 30537 ","Polling Place: ",2,,,"Precinct: 30537 ","Polling Place: ",3,,
"Soul Clinic Idp Camp, Soul Clinic Community ",,,,,"Soul Clinic Idp Camp, Soul Clinic Community ",,,,,"Soul Clinic Idp Camp, Soul Clinic Community",,,,
"Registered Voters: ",507,,,,"Registered Voters: ",505,,,,"Registered Voters: ",484,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,245,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,284,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,280
"WEAH, George Manneh (CDC) ",,,,104,"WEAH, George Manneh (CDC) ",,,,48,"WEAH, George Manneh (CDC) ",,,,39
,"Valid Votes: ",,,349,,"Valid Votes: ",,,332,,"Valid Votes: ",,,319
,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,12,,"Invalid Votes: ",,,8
,"Total Votes: ",,,357,,"Total Votes: ",,,344,,"Total Votes: ",,,327
"Precinct: 30537 ","Polling Place: ",4,,,"Precinct: 30537 ","Polling Place: ",5,,,"Precinct: 30537 ","Polling Place: ",6,,
"Soul Clinic Idp Camp, Soul Clinic Community ",,,,,"Soul Clinic Idp Camp, Soul Clinic Community ",,,,,"Soul Clinic Idp Camp, Soul Clinic Community",,,,
"Registered Voters: ",486,,,,"Registered Voters: ",479,,,,"Registered Voters: ",492,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,248,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,277,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,279
"WEAH, George Manneh (CDC) ",,,,46,"WEAH, George Manneh (CDC) ",,,,44,"WEAH, George Manneh (CDC) ",,,,44
,"Valid Votes: ",,,294,,"Valid Votes: ",,,321,,"Valid Votes: ",,,323
,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,14,,"Invalid Votes: ",,,10
,"Total Votes: ",,,300,,"Total Votes: ",,,335,,"Total Votes: ",,,333
"Precinct: 30538 ","Polling Place: ",1,,,"Precinct: 30538 ","Polling Place: ",2,,,"Precinct: 30538 ","Polling Place: ",3,,
"Credit Union Building - I, Pipeline Road ",,,,,"Credit Union Building - I, Pipeline Road ",,,,,"Credit Union Building - I, Pipeline Road ",,,,
"Registered Voters: ",559,,,,"Registered Voters: ",594,,,,"Registered Voters: ",522,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,254,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,244,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,205
"WEAH, George Manneh (CDC) ",,,,154,"WEAH, George Manneh (CDC) ",,,,162,"WEAH, George Manneh (CDC) ",,,,147
,"Valid Votes: ",,,408,,"Valid Votes: ",,,406,,"Valid Votes: ",,,352
,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,10,,"Invalid Votes: ",,,11
,"Total Votes: ",,,416,,"Total Votes: ",,,416,,"Total Votes: ",,,363
"Precinct: 30538 ","Polling Place: ",4,,,"Precinct: 30538 ","Polling Place: ",5,,,"Precinct: 30538 ","Polling Place: ",6,,
"Credit Union Building - I, Pipeline Road ",,,,,"Credit Union Building - I, Pipeline Road ",,,,,"Credit Union Building - I, Pipeline Road ",,,,
"Registered Voters: ",568,,,,"Registered Voters: ",523,,,,"Registered Voters: ",589,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,277,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,219,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,268
"WEAH, George Manneh (CDC) ",,,,167,"WEAH, George Manneh (CDC) ",,,,146,"WEAH, George Manneh (CDC) ",,,,143
,"Valid Votes: ",,,444,,"Valid Votes: ",,,365,,"Valid Votes: ",,,411
,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,3
,"Total Votes: ",,,448,,"Total Votes: ",,,369,,"Total Votes: ",,,414
"Precinct: 30539 ","Polling Place: ",1,,,"Precinct: 30539 ","Polling Place: ",2,,,"Precinct: 30539 ","Polling Place: ",3,,
"Credit Union Building - Ii, Pipeline Road ",,,,,"Credit Union Building - Ii, Pipeline Road ",,,,,"Credit Union Building - Ii, Pipeline Road ",,,,
"Registered Voters: ",565,,,,"Registered Voters: ",559,,,,"Registered Voters: ",521,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,257,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,241,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,216
"WEAH, George Manneh (CDC) ",,,,145,"WEAH, George Manneh (CDC) ",,,,127,"WEAH, George Manneh (CDC) ",,,,147
,"Valid Votes: ",,,402,,"Valid Votes: ",,,368,,"Valid Votes: ",,,363
,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,16,,"Invalid Votes: ",,,11
,"Total Votes: ",,,408,,"Total Votes: ",,,384,,"Total Votes: ",,,374
"Precinct: 30539 ","Polling Place: ",4,,,"Precinct: 30539 ","Polling Place: ",5,,,"Precinct: 30539 ","Polling Place: ",6,,
"Credit Union Building - Ii, Pipeline Road ",,,,,"Credit Union Building - Ii, Pipeline Road ",,,,,"Credit Union Building - Ii, Pipeline Road ",,,,
"Registered Voters: ",545,,,,"Registered Voters: ",597,,,,"Registered Voters: ",533,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,233,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,246,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,227
"WEAH, George Manneh (CDC) ",,,,150,"WEAH, George Manneh (CDC) ",,,,169,"WEAH, George Manneh (CDC) ",,,,149
,"Valid Votes: ",,,383,,"Valid Votes: ",,,415,,"Valid Votes: ",,,376
,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,7,,"Invalid Votes: ",,,4
,"Total Votes: ",,,388,,"Total Votes: ",,,422,,"Total Votes: ",,,380
"Precinct: 30540 ","Polling Place: ",1,,,"Precinct: 30540 ","Polling Place: ",2,,,"Precinct: 30540 ","Polling Place: ",3,,
"Nathan E Gibson School , Paynesville Road Comm. ",,,,,"Nathan E Gibson School , Paynesville Road Comm. ",,,,,"Nathan E Gibson School , Paynesville Road Comm.",,,,
"Registered Voters: ",547,,,,"Registered Voters: ",556,,,,"Registered Voters: ",589,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,307,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,294,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,326
"WEAH, George Manneh (CDC) ",,,,87,"WEAH, George Manneh (CDC) ",,,,111,"WEAH, George Manneh (CDC) ",,,,128
,"Valid Votes: ",,,394,,"Valid Votes: ",,,405,,"Valid Votes: ",,,454
,"Invalid Votes: ",,,3,,"Invalid Votes: ",,,7,,"Invalid Votes: ",,,5
,"Total Votes: ",,,397,,"Total Votes: ",,,412,,"Total Votes: ",,,459
"Precinct: 30540 ","Polling Place: ",4,,,"Precinct: 30540 ","Polling Place: ",5,,,"Precinct: 30541 ","Polling Place: ",1,,
"Nathan E Gibson School , Paynesville Road Comm. ",,,,,"Nathan E Gibson School , Paynesville Road Comm. ",,,,,"Rock International School, Paynesville Road ",,,,
"Registered Voters: ",575,,,,"Registered Voters: ",583,,,,"Registered Voters: ",533,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,306,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,319,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,266
"WEAH, George Manneh (CDC) ",,,,106,"WEAH, George Manneh (CDC) ",,,,112,"WEAH, George Manneh (CDC) ",,,,127
,"Valid Votes: ",,,412,,"Valid Votes: ",,,431,,"Valid Votes: ",,,393
,"Invalid Votes: ",,,3,,"Invalid Votes: ",,,11,,"Invalid Votes: ",,,9
,"Total Votes: ",,,415,,"Total Votes: ",,,442,,"Total Votes: ",,,402
"Precinct: 30541 ","Polling Place: ",2,,,"Precinct: 30541 ","Polling Place: ",3,,,"Precinct: 30541 ","Polling Place: ",4,,
"Rock International School, Paynesville Road ",,,,,"Rock International School, Paynesville Road ",,,,,"Rock International School, Paynesville Road ",,,,
"Registered Voters: ",568,,,,"Registered Voters: ",521,,,,"Registered Voters: ",493,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,279,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,248,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,258
"WEAH, George Manneh (CDC) ",,,,139,"WEAH, George Manneh (CDC) ",,,,113,"WEAH, George Manneh (CDC) ",,,,117
,"Valid Votes: ",,,418,,"Valid Votes: ",,,361,,"Valid Votes: ",,,375
,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,6
,"Total Votes: ",,,424,,"Total Votes: ",,,369,,"Total Votes: ",,,381
"Precinct: 30541 ","Polling Place: ",5,,,"Precinct: 30541 ","Polling Place: ",6,,,"Precinct: 30542 ","Polling Place: ",1,,
"Rock International School, Paynesville Road ",,,,,"Rock International School, Paynesville Road ",,,,,"St. Matthew 's Lutheran , Wood Camp ",,,,
"Registered Voters: ",485,,,,"Registered Voters: ",532,,,,"Registered Voters: ",486,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,232,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,259,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,244
"WEAH, George Manneh (CDC) ",,,,119,"WEAH, George Manneh (CDC) ",,,,112,"WEAH, George Manneh (CDC) ",,,,100
,"Valid Votes: ",,,351,,"Valid Votes: ",,,371,,"Valid Votes: ",,,344
,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,14,,"Invalid Votes: ",,,10
,"Total Votes: ",,,357,,"Total Votes: ",,,385,,"Total Votes: ",,,354
"Precinct: 30542 ","Polling Place: ",2,,,"Precinct: 30542 ","Polling Place: ",3,,,"Precinct: 30542 ","Polling Place: ",4,,
"St. Matthew 's Lutheran , Wood Camp ",,,,,"St. Matthew 's Lutheran , Wood Camp ",,,,,"St. Matthew 's Lutheran , Wood Camp ",,,,
"Registered Voters: ",549,,,,"Registered Voters: ",541,,,,"Registered Voters: ",553,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,297,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,290,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,258
"WEAH, George Manneh (CDC) ",,,,107,"WEAH, George Manneh (CDC) ",,,,116,"WEAH, George Manneh (CDC) ",,,,141
,"Valid Votes: ",,,404,,"Valid Votes: ",,,406,,"Valid Votes: ",,,399
,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,9,,"Invalid Votes: ",,,7
,"Total Votes: ",,,409,,"Total Votes: ",,,415,,"Total Votes: ",,,406
"Precinct: 30542 ","Polling Place: ",5,,,"Precinct: 30542 ","Polling Place: ",6,,,"Precinct: 30543 ","Polling Place: ",1,,
"St. Matthew 's Lutheran , Wood Camp ",,,,,"St. Matthew 's Lutheran , Wood Camp ",,,,,"Paynesville Central Academy, Somalia Drive Freew ay",,,,
"Registered Voters: ",554,,,,"Registered Voters: ",477,,,,"Registered Voters: ",566,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,284,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,250,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,264
"WEAH, George Manneh (CDC) ",,,,120,"WEAH, George Manneh (CDC) ",,,,106,"WEAH, George Manneh (CDC) ",,,,156
,"Valid Votes: ",,,404,,"Valid Votes: ",,,356,,"Valid Votes: ",,,420
,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,12,,"Invalid Votes: ",,,9
,"Total Votes: ",,,412,,"Total Votes: ",,,368,,"Total Votes: ",,,429
"Precinct: 30543 ","Polling Place: ",2,,,"Precinct: 30543 ","Polling Place: ",3,,,"Precinct: 30543 ","Polling Place: ",4,,
"Paynesville Central Academy, Somalia Drive Freew ay ",,,,,"Paynesville Central Academy, Somalia Drive Freew ay ",,,,,"Paynesville Central Academy, Somalia Drive Freew ay",,,,
"Registered Voters: ",623,,,,"Registered Voters: ",523,,,,"Registered Voters: ",558,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,289,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,239,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,259
"WEAH, George Manneh (CDC) ",,,,148,"WEAH, George Manneh (CDC) ",,,,126,"WEAH, George Manneh (CDC) ",,,,130
,"Valid Votes: ",,,437,,"Valid Votes: ",,,365,,"Valid Votes: ",,,389
,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,4
,"Total Votes: ",,,442,,"Total Votes: ",,,367,,"Total Votes: ",,,393
"Precinct: 30543 ","Polling Place: ",5,,,"Precinct: 30543 ","Polling Place: ",6,,,"Precinct: 30543 ","Polling Place: ",7,,
"Paynesville Central Academy, Somalia Drive Freew ay ",,,,,"Paynesville Central Academy, Somalia Drive Freew ay ",,,,,"Paynesville Central Academy, Somalia Drive Freew ay",,,,
"Registered Voters: ",558,,,,"Registered Voters: ",525,,,,"Registered Voters: ",607,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,257,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,233,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,264
"WEAH, George Manneh (CDC) ",,,,134,"WEAH, George Manneh (CDC) ",,,,141,"WEAH, George Manneh (CDC) ",,,,169
,"Valid Votes: ",,,391,,"Valid Votes: ",,,374,,"Valid Votes: ",,,433
,"Invalid Votes: ",,,10,,"Invalid Votes: ",,,9,,"Invalid Votes: ",,,9
,"Total Votes: ",,,401,,"Total Votes: ",,,383,,"Total Votes: ",,,442
"Precinct: 30544 ","Polling Place: ",1,,,"Precinct: 30544 ","Polling Place: ",2,,,"Precinct: 30544 ","Polling Place: ",3,,
"Kalita School Bldg., Somalia Drive Freew ay ",,,,,"Kalita School Bldg., Somalia Drive Freew ay ",,,,,"Kalita School Bldg., Somalia Drive Freew ay",,,,
"Registered Voters: ",607,,,,"Registered Voters: ",592,,,,"Registered Voters: ",597,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,282,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,269,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,298
"WEAH, George Manneh (CDC) ",,,,156,"WEAH, George Manneh (CDC) ",,,,154,"WEAH, George Manneh (CDC) ",,,,151
,"Valid Votes: ",,,438,,"Valid Votes: ",,,423,,"Valid Votes: ",,,449
,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,8
,"Total Votes: ",,,446,,"Total Votes: ",,,425,,"Total Votes: ",,,457
"Precinct: 30544 ","Polling Place: ",4,,,"Precinct: 30544 ","Polling Place: ",5,,,"Precinct: 30545 ","Polling Place: ",1,,
"Kalita School Bldg., Somalia Drive Freew ay ",,,,,"Kalita School Bldg., Somalia Drive Freew ay ",,,,,"Goerge Toe Washington School, 72nd  Barrac ",,,,
"Registered Voters: ",602,,,,"Registered Voters: ",591,,,,"Registered Voters: ",488,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,279,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,244,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,245
"WEAH, George Manneh (CDC) ",,,,163,"WEAH, George Manneh (CDC) ",,,,151,"WEAH, George Manneh (CDC) ",,,,112
,"Valid Votes: ",,,442,,"Valid Votes: ",,,395,,"Valid Votes: ",,,357
,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,4
,"Total Votes: ",,,444,,"Total Votes: ",,,400,,"Total Votes: ",,,361
"Precinct: 30545 ","Polling Place: ",2,,,"Precinct: 30545 ","Polling Place: ",3,,,"Precinct: 30545 ","Polling Place: ",4,,
"Goerge Toe Washington School, 72nd  Barrac ",,,,,"Goerge Toe Washington School, 72nd  Barrac ",,,,,"Goerge Toe Washington School, 72nd  Barrac ",,,,
"Registered Voters: ",541,,,,"Registered Voters: ",549,,,,"Registered Voters: ",530,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,261,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,262,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,266
"WEAH, George Manneh (CDC) ",,,,144,"WEAH, George Manneh (CDC) ",,,,127,"WEAH, George Manneh (CDC) ",,,,114
,"Valid Votes: ",,,405,,"Valid Votes: ",,,389,,"Valid Votes: ",,,380
,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,6
,"Total Votes: ",,,413,,"Total Votes: ",,,395,,"Total Votes: ",,,386
"Precinct: 30545 ","Polling Place: ",5,,,"Precinct: 30545 ","Polling Place: ",6,,,"Precinct: 30546 ","Polling Place: ",1,,
"Goerge Toe Washington School, 72nd  Barrac ",,,,,"Goerge Toe Washington School, 72nd  Barrac ",,,,,"Christian Methodist School, Neezoe Community",,,,
"Registered Voters: ",526,,,,"Registered Voters: ",566,,,,"Registered Voters: ",541,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,243,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,270,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,206
"WEAH, George Manneh (CDC) ",,,,135,"WEAH, George Manneh (CDC) ",,,,129,"WEAH, George Manneh (CDC) ",,,,153
,"Valid Votes: ",,,378,,"Valid Votes: ",,,399,,"Valid Votes: ",,,359
,"Invalid Votes: ",,,3,,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,3
,"Total Votes: ",,,381,,"Total Votes: ",,,407,,"Total Votes: ",,,362
"Precinct: 30546 ","Polling Place: ",2,,,"Precinct: 30546 ","Polling Place: ",3,,,"Precinct: 30546 ","Polling Place: ",4,,
"Christian Methodist School, Neezoe Community ",,,,,"Christian Methodist School, Neezoe Community ",,,,,"Christian Methodist School, Neezoe Community",,,,
"Registered Voters: ",600,,,,"Registered Voters: ",595,,,,"Registered Voters: ",546,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,283,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,239,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,282
"WEAH, George Manneh (CDC) ",,,,175,"WEAH, George Manneh (CDC) ",,,,165,"WEAH, George Manneh (CDC) ",,,,146
,"Valid Votes: ",,,458,,"Valid Votes: ",,,404,,"Valid Votes: ",,,428
,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,11,,"Invalid Votes: ",,,15
,"Total Votes: ",,,463,,"Total Votes: ",,,415,,"Total Votes: ",,,443
"Precinct: 30546 ","Polling Place: ",5,,,"Precinct: 30546 ","Polling Place: ",6,,,"Precinct: 30547 ","Polling Place: ",1,,
"Christian Methodist School, Neezoe Community ",,,,,"Christian Methodist School, Neezoe Community ",,,,,"Fairfield Baptist Mission School, Neezoe Community",,,,
"Registered Voters: ",595,,,,"Registered Voters: ",593,,,,"Registered Voters: ",609,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,242,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,278,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,319
"WEAH, George Manneh (CDC) ",,,,155,"WEAH, George Manneh (CDC) ",,,,162,"WEAH, George Manneh (CDC) ",,,,141
,"Valid Votes: ",,,397,,"Valid Votes: ",,,440,,"Valid Votes: ",,,460
,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,9,,"Invalid Votes: ",,,7
,"Total Votes: ",,,402,,"Total Votes: ",,,449,,"Total Votes: ",,,467
"Precinct: 30547 ","Polling Place: ",2,,,"Precinct: 30547 ","Polling Place: ",3,,,"Precinct: 30547 ","Polling Place: ",4,,
"Fairfield Baptist Mission School, Neezoe Community ",,,,,"Fairfield Baptist Mission School, Neezoe Community ",,,,,"Fairfield Baptist Mission School, Neezoe Community",,,,
"Registered Voters: ",589,,,,"Registered Voters: ",603,,,,"Registered Voters: ",576,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,282,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,294,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,290
"WEAH, George Manneh (CDC) ",,,,145,"WEAH, George Manneh (CDC) ",,,,143,"WEAH, George Manneh (CDC) ",,,,132
,"Valid Votes: ",,,427,,"Valid Votes: ",,,437,,"Valid Votes: ",,,422
,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,9,,"Invalid Votes: ",,,7
,"Total Votes: ",,,433,,"Total Votes: ",,,446,,"Total Votes: ",,,429
