"Voting ",,,,,"General "
24087,"Harbel Grove Palava hut ",,"Harbel Grove ",1286,3
24088,"Harbel Field House ",,"Harbel Field House ",871,2
24089,"Division 42 Suger Hill office ",,"Division 42 Suger Hill ",473,1
24090,"Cotton Tree Palava Hut ",,"Cotton Tree, Harbel ",1234,3
24091,"R I A Terminal ",,"R I A Community ",696,2
24092,"R.S. Caulfield School ",,"Unification Town ",1113,3
24093,"Children Hope Community School ",,"Unification Town ",1697,4
24094,"Joe Blow Town Palava Hut ",,"Y.M.C.A ",764,2
24095,"Clipper Camp1 ",,"Clipper Camp Community ",732,2
24096,"Clipper Camp 2 ",,"Clipper Camp Community ",1247,3
24097,"Dolo Town Community School ",,"Dolo Town ",1845,4
24098,"Mother of Jesus Christ Catholic School ",,"Trouble Town ",2262,5
24099,"Peter Town Jr. High School ",,"Peter Town ",914,2
24100,"Charlesville Public School ",,"Charlesville ",892,2
24101,"Exchem Compound ",,"Exchem Compound ",392,1
"Voting ",,,,,"General "
"Precinct ","COUNTY :MARGIBI ",,"ELECTORAL DISTRICT : 3 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
24015,"Division 25 Office ",,"Division 25 ",207,1
24016,"Divison 29 Camp 2 Office ",,"Divison 29 Camp 2 & 3 ",819,2
24017,"Division 36 Office ",,"Division 36 ",587,2
24022,"Division 14 Camp 3 Office ",,"Division 14 Camp 3 ",755,2
24023,"Division 38 Old Camp office ",,"Division 38 Old Camp ",1281,3
24024,"Division 31 Camp 3 Office ",,"Division 31 Camp 3 ",1209,3
24025,"Division 33 Office ",,"Division 33 ",424,1
24027,"Division 26 Office ",,"Division 26 ",790,2
24028,"Division 24 Camp 2 School ",,"Division 24 Camp 2 ",463,1
24029,"Division 40 Camp 1 Office ",,"Division 40 Camp 1 ",1494,3
24032,"Divison 28 office ",,"Divison 28 ",1150,3
24035,"Division 37 Office ",,"Division 37 ",853,2
24076,"Divison 43 School ",,"Divison 43 ",1185,3
24118,"Bright Farm School ",,"R.S.S. Bright Farm ",333,1
24119,"Evening Star Baptist Church ",,"Mandingo Quarter ",1797,4
24120,"Federation of Transport Union ",,"Central Kakata ",1180,3
24121,"Brich-McNutt school ",,"Buzzy quarter ",1015,3
24122,"E.J. Yancy School ",,"14 Road Community ",1594,4
24125,"St. Augustine School ",,"Police Station Community ",2639,6
24126,"Dominique Hena School ",,"New Kakata ",1542,4
24127,"Asaru Isamic School ",,"Vai Town ",1350,3
24128,"Mission for Today School ",,"New Kakata ",1117,3
24129,"Gborfela Public School ",,"Gborfela ",385,1
24130,"Madina Community School ",,"Madina Community ",521,2
24131,"26 Gate Community School ",,"26 Gate Community ",591,2
"Voting ",,,,,"General "
"Precinct ","COUNTY :MARGIBI ",,"ELECTORAL DISTRICT : 4 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
24007,"Richard Town Palava Hut ",,"Richard ",539,2
24008,"Konoquelleh Town Palava Hut ",,"Konoquelleh ",434,1
24009,"Brown Farm Palava Hut ",,"Brown Farm ",1011,3
24010,"David Cooper Farm Palava Hut ",,"David Cooper ",904,2
24037,"J.D. Lassana Farm Palava Hut ",,"J.D. Lassana Farm ",421,1
24038,"Gboyarmu Palava Hut ",,"Gboyarmu ",382,1
24041,"Gwepolosue Palava Hut ",,"Gwepolosue ",900,2
24042,"Laketa Palava Hut ",,"Laketa ",1510,4
24048,"Vanyema Palava Hut ",,"Vanyema ",397,1
24049,"David T. Cooper Palava Hut ",,"David T.Cooper ",645,2
24051,"Gweemenie Palava Hut ",,"Gweemenie ",589,2
24057,"Kpinkpah Folo Town Palava Hut ",,"Kpinkpah Folo Town ",517,2
24058,"Mary Page Farm Palava Hut ",,"Mary Page Farm ",444,1
24062,"Arthur Sherman Farm Palava Hut ",,"Arthur Sherman Farm ",762,2
24063,"Slocum Mission School ",,"Slocum Mission ",598,2
24067,"Vartiker Town Palava Hut ",,"Vartiker ",363,1
24068,"Gweh Paye Palava Hut ",,"Gweh Paye ",192,1
24071,"Yeamen Public School ",,"Yeamen ",383,1
24110,"BWI Campus ",,"BWI Community ",2112,5
24111,"Philadelphia Church ",,"Gio Quarter ",1753,4
24112,"Aminata Gas Station ",,"Central Kakata ",2514,6
24113,"St. Paul Lutheran School ",,"Lango Town ",2212,5
24114,"Lango Lippaye ",,"Bassa Community ",1622,4
24115,"Calvary Baptish School ",,"Gbandi Community ",1036,3
24116,"Conquerors Pentecostal School ",,"Sackie Morris ",1158,3
24117,"Benla Community School ",,"Benla Community ",607,2
24123,"Free Pentecostal School ",,"Sugar Hill Community ",1124,3
24124,"John Joseph School ",,"Central Kakata ",1133,3
"Voting ",,,,,"General "
"Precinct ","COUNTY :MARGIBI ",,"ELECTORAL DISTRICT : 5 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
24001,"Bondo Barwo School ",,"Bondo Barwo ",634,2
24002,"Yarnwullie Public School ",,"Yarnwullie ",1189,3
24003,"Barclay's Farm School of Christ ",,"Barclay's Farm ",2752,6
24004,"Nuah Town Palava Hut ",,"Nuah Town ",275,1
24005,"Behn Gbowron Town Palava Hut ",,"Behn Gbowron ",498,1
24006,"Lakar Town Palava Hut ",,"Lakar Town ",212,1
24011,"Baypolu Public School ",,"Baypolu Town ",1506,4
24012,"S. R. C. Camp III Public School ",,"S. R. C. Camp III ",600,2
24013,"Cinta Public School ",,"Cinta ",880,2
24014,"Vayema Palava Hut ",,"Vayema ",342,1
24039,"Gleegbar Town Public School ",,"Gleegbar ",620,2
24040,"Gao Town Public School ",,"Gao ",432,1
24043,"Konola Mission School ",,"Konola ",824,2
24044,"Jennita Palava Hut ",,"Jennita Town ",992,2
24045,"Laynala Palava Hut ",,"Laynala Town ",810,2
24046,"Bolorla Palava Hut ",,"Bolorla Town ",535,2
24047,"Weala Palava Hut ",,"Weala Town ",1896,4
24052,"Kono Town Palava Hut ",,"Kono ",445,1
24053,"Gbarjor Kor Palava Hut ",,"Gbarjor Kor ",450,1
24054,"Gbolin Boe-Dian Public School ",,"Gbolin Boe-Dian ",312,1
24055,"Poye's Town Palava Hut ",,"Poye's Town ",422,1
24056,"Worhn Public School ",,"Worhn ",1335,3
24060,"Massaquoi Public school ",,"Massaquoi ",1204,3
24061,"S.R.C. Camp l Palava Hut ",,"S.R.C. Camp I ",1069,3
24064,"Fahn Tika Palava Hut ",,"Fahn Tika ",346,1
24065,"Gbudu Town Palava Hut ",,"Gbudu ",470,1
24066,"Zeo Town Palava Hut ",,"Zeo ",396,1
24069,"Wolaila Public School ",,"Wolaila ",495,1
24072,"Peter Town School ",,"Peter ",950,2
24073,"Lonfay Palava Hut ",,"Lonfay ",446,1
"Voting ",,,,,"General "
"Precinct ","COUNTY :MARYLAND ",,"ELECTORAL DISTRICT : 1 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
27001,"Barraken Elem. School ",,"Barraken ",1112,3
27003,"Big Town Public School ",,"Bolodui ",1315,3
27004,"Cavalla Big Town Public School ",,"Cavalla Big Town ",1011,3
27005,"Fish Town Public School ",,"Fish Town ",516,2
27006,"Fodoken Town Hall ",,"Fodoken ",297,1
27016,"Spring Hill Yealu Elem. School ",,"Spring Hill ",303,1
27017,"Kablaken Town Hall ",,"Kablaken ",117,1
27018,"Little Wlebo Elem. School ",,"Little Wlebo # 1 ",211,1
27019,"Middle Town Hall ",,"Middle Town ",237,1
27021,"Pedebo Elem. School ",,"Pedebo ",330,1
27022,"Yookudi Elem. School ",,"Yookudi ",836,2
27028,"Rock Town Public School ",,"Rock Town ",537,2
27029,"Mission Town Hall ",,"Mission Town ",167,1
27032,"Whole Graway Elem. School ",,"Whole Graway ",234,1
27033,"Pullah Elem. School ",,"Pullah ",418,1
27035,"Worteken Town Hall ",,"Worteken ",207,1
27036,"Wuduke Palava Hut ",,"Wuduke ",980,2
27073,"Harper City Hall ",,"Harper ",1222,3
27074,"Cape Palmas High School ",,"Harper ",1483,3
27075,"Agnes Thompson Elem. School ",,"Harper ",1475,3
27076,"New Kru Town Hall ",,"New Kru Town, Harper ",844,2
27077,"New Kru Town Palava Hut ",,"New Kru Town, Harper ",902,2
27078,"East Harper Elem. School ",,"Harper ",2031,5
"Voting ",,,,,"General "
"Precinct ","COUNTY :MARYLAND ",,"ELECTORAL DISTRICT : 2 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
27002,"Gborlobo Elem. School ",,"Gborlobo ",1003,3
27007,"Gbaewen Elem. School ",,"Gbaewen Big Town ",124,1
27008,"Gbeken Town Hall ",,"Gbeken Main Town ",166,1
27009,"Gbloken Mission Elem. School ",,"Gbloken Mission Town ",365,1
27010,"Gbololu Town Hall ",,"Gbololu ",351,1
27012,"CRC Kindergarten ",,"Evansville -1 ",853,2
27013,"CRC High School ",,"Gedetarbo ",824,2
27014,"Division 5 Camp 5 Palava Hut ",,"Division 5 Camp 5 ",1109,3
27015,"Golobo Elem. School ",,"Golobo ",255,1
27020,"Old Sodoken Town Hall ",,"Old Sodoken ",577,2
27023,"Pleebo City Hall ",,"Plebo ",3058,7
27024,"Pleebo High School ",,"Plebo ",3359,7
27025,"Pleebo Grand Public School ",,"Plebo ",2573,6
27026,"Geebio Palava Hut ",,"Gebio Big ",1511,4
27027,"Bassa Community Elem. School ",,"Plebo ",1183,3
27030,"Sadeken Town Hall ",,"Sadeken ",495,1
27031,"Libsuco Community School ",,"Libsuco Factory ",266,1
27034,"Witchoken Elem. School ",,"Witchoken Mission ",395,1
"Voting ",,,,,"General "
"Precinct ","COUNTY :MARYLAND ",,"ELECTORAL DISTRICT : 3 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
27011,"Nemeken Town Hall ",,"Nemeken ",548,2
27037,"Boniken High School ",,"Boniken ",958,2
27038,"Manolu Elem School ",,"Manolu #2 ",503,2
27039,"Gbamaken Town Hall ",,"Gbamaken # 1 ",251,1
27040,"Jargeloken Town Hall ",,"Jargeloken ",70,1
27041,"Soloken Town Hall ",,"Soloken ",57,1
27042,"Boys Dormitory ",,"Doloken ",344,1
27043,"Gbakliken Town Hall ",,"Gbakliken ",244,1
27044,"Feloken Elem. School ",,"Feloken ",413,1
27045,"Dugboken Elem. School ",,"Dugboken ",504,2
27046,"Chiliken Elem. School ",,"Chiliken ",64,1
27047,"Gbeaken Elem. School ",,"Gbeaken ",332,1
27048,"Gbiabosuken Town Hall ",,"Gbiabosuken ",161,1
27049,"Gwuteken Town Hall ",,"Gwutuken ",579,2
27050,"Rock Town Public School ",,"Rock Town ",438,1
27051,"Gorturken Town Hall ",,"Gorturken ",268,1
27052,"Warteken Town Hall ",,"Warteken ",505,2
27053,"Suasu Town Hall ",,"Suasu ",245,1
27054,"Dwejah Town Hall ",,"Dwejah ",217,1
27055,"Karloken Elem. & Jr High School ",,"Karloken ",1332,3
27056,"Joe Clark Elem. School ",,"Juluken # 1 ",428,1
27057,"Kliliken Town Hall ",,"Kliliken ",498,1
27058,"Yobloken Town Hall ",,"Yobloken Town ",948,2
27059,"Martuken Town Hall ",,"Martuken ",153,1
27060,"Sampson Goe Elem. School ",,"Gbawiliken Cavalla ",216,1
27061,"Pougbaken Elem. School ",,"Pougbaken ",152,1
27062,"Yederobo Elem. School ",,"Yederobo ",1015,3
27063,"Seator Town Hall ",,"Seator ",57,1
27064,"Sawtorken Town Hall ",,"Sawtorken II ",125,1
27065,"Barrobo Central High ",,"Glofaken ",404,1
27066,"Gwissiken Town Hall ",,"Gwissiken ",461,1
27067,"Tarworken Town Hall ",,"Tarworken ",549,2
27068,"Tugbaken Elem. & Jr. High School ",,"Tugbaken ",695,2
27069,"Henogbe Elem. School ",,"Henogbe ",334,1
27070,"James T. Hinneh Elem. School ",,"Big Jay ",265,1
27071,"Wutuken Elem. School ",,"Wuluken ",546,2
27072,"Wlowien Town Hall ",,"Wlowien ",500,1
"Voting ",,,,,"General "
"Precinct ","COUNTY :MONTSERRADO ",,"ELECTORAL DISTRICT : 1 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
30002,"Goba Town Public School ",,"Goba ",1161,3
30003,"Sackie Town Public School ",,"Sackie ",649,2
30028,"Careysburg High School ",,"Central Careysburg ",874,2
30029,"Careysburg Administrative Building ",,"Central Careysburg ",1023,3
30072,"Crozierville Town Hall ",,"Central Crozierville ",1087,3
30101,"Euphemial Barclay School ",,"Fahn Gotor, Bentol City ",1302,3
30102,"Morris Farm School ",,"Morris Farm Community ",1964,4
30103,"Blopa Public School ",,"Blopa ",709,2
30104,"Fendall Public School ",,"Central Fendall ",643,2
30105,"Fendall U.L. Palava Hut ",,"Fendall ",1963,4
30138,"Children Home School ",,"Children Home ",908,2
30140,"Youth Camp Auditorium ",,"Bulu ",1312,3
30141,"Freeman Reserved Public School ",,"Freeman Reserved ",837,2
30147,"Bernand Curve Palava Hut ",,"Freeman ",612,2
30148,"David A. Day Memorial Lutheran School ",,"Central Harrisburg ",328,1
30149,"Raymond Camp School ",,"Raymond Camp ",380,1
30170,"Kartoe Public School ",,"Kartoe Town ",571,2
30177,"Kingsville Public School ",,"Central Kingsville ",1553,4
30178,"Kingsville Public School ",,"Central Kingsville ",1608,4
30179,"15th Gate Community School ",,"15th Gate community ",833,2
30180,"Kpayaquelleh Palava Hut ",,"Kpayaquelleh ",379,1
30189,"Louisiana Waterside Community School ",,"Louisiana Waterside ",417,1
30190,"King's Farm Community School ",,"King's Farm ",1262,3
30191,"Mary Paye Farm Public School ",,"Mary Farm ",487,1
30194,"Gwee Town Palava Hut ",,"Gwee ",770,2
30195,"Tarquoi Town Palava Hut ",,"Tarquoi ",431,1
30196,"Koon Town Public School ",,"Koon ",1323,3
30197,"Manamu Town Palava Hut ",,"Manamu ",521,2
30215,"Zingbor Town Hall ",,"Zingbor ",794,2
30270,"Sasstown Community School ",,"Sasstown ",443,1
30328,"New Land IDP Camp Community Hall ",,"New Land ",371,1
30329,"New Land IDP Camp Community Hall ",,"Upper Careysburg ",423,1
30330,"Clean Town Palava Hut ",,"Clean Town/Todee ",505,2
30331,"Zannah Town Public School ",,"Zannah Town/Todee ",1218,3
30332,"Moisee Town Public School ",,"Morcee Town/Todee ",262,1
30333,"Yeakpai Town Public School ",,"Yeakpai Town/Todee ",1106,3
30334,"Yeagbah Town Public School ",,"Yeagbah Town/Todee ",758,2
30335,"Nyehn Town Public School ",,"Nyehn Town/Todee ",1432,3
30432,"C. H. Henry Public School ",,"Central White Plains ",142,1
30433,"Jesus Christ Children Int'l School ",,"Central White Plains ",245,1
30434,"Hart Town Hall ",,"Hart Town ",223,1
30435,"Yarkpazuah Palava Hut ",,"Yarkpazuah Town ",1005,3
30436,"Pleemu Public School ",,"Pleemu Town ",1455,3
"Voting ",,,,,"General "
"Precinct ","COUNTY :MONTSERRADO ","ELECTORAL DISTRICT : 2 ",,,"Polling "
"Code ","Locality ","Address ",,"Voters ","Places"
30036,"Johnsonville Public School ","Johnsonville ",,1571,4
30091,"Fairfield Baptist School ","Neezoe ",,1904,4
30099,"Hope For Life School ","After the Towel on Pipe line road, City View ",,1567,4
30100,"Our Lady of Fatama School ","After the Towel on Pipe line road, City View ",,2731,6
30192,"Light Enterprises Academy & Vocational SchooLower Johnsonville ",,,1798,4
30193,"YMCA - Nekely Town ","Lower Johnsonville ",,2089,5
30213,"NRC School ","Mount Barclay ",,1911,4
30214,"Child Friendly Space ","Mount Barclay ",,1123,3
30223,"Monrovia Vocational Training Center ","Double Bridge ",,2275,5
30224,"Monrovia Vocational Training Center ","Double Bridge ",,1753,4
30225,"New Hope Academy ","Double Bridge/Peace Island ",,2065,5
30226,"Bassa Town Community School ","Double Bridge/Peace Island ",,628,2
30227,"St. Francis School ","Jacob Town ",,3207,7
30228,"Calvary Temple A.G.M. High School ","Jacob Town ",,2211,5
30229,"Calvary Temple A.G.M. High School ","Jacob Town ",,2339,5
30230,"Ma Bendu I. Sheriff School ","Zinc Factory ",,1866,4
30231,"Muslim Solidarity Arabic & English School ","Zinc Factory ",,2370,5
30232,"Star Baptist School ","Rock Hill ",,1791,4
"Voting ",,,,,"General "
"Precinct ","COUNTY :MONTSERRADO ","ELECTORAL DISTRICT : 3 ",,,"Polling "
"Code ","Locality ","Address ",,"Voters ","Places"
30092,"Aaron G. Burgess Momerial Academy ","Neezoe ",,2347,5
30093,"Christian Methodist School ","Neezoe ",,2008,5
30094,"New Jerusalem Baptist Church ","Adjacent to the Police Station, Neezoe ",,2616,6
30095,"Salvation Army ","Pipe Line A ",,2988,7
30096,"International Christian School of Prime SystemPipe Line B ",,,2156,5
30097,"Small Catholic & IDP Camp ","Pipe Line B ",,2102,5
30271,"Revival Temple A.G.M School ","Wood Camp Road ",,2421,5
30272,"Jawalla Community School ","Wood Camp ",,1675,4
30273,"Billie Call Christian Institute ","Wood Camp A ",,2314,5
30274,"Billie Call Christian Institute ","Wood Camp B ",,2238,5
30275,"Victorial A. William High School ","Morris Farm ",,1463,3
30276,"Factory Community Christian Academy ","Coco Cola Factory Community/ Morris Farm Ent ",,2426,5
30277,"Practical Trade Training Center ","Coco Cola Factory Community ",,2811,6
30280,"Messiah Mission School ","Morris Farm/ Inside ",,1933,4
30283,"David G. Barshell Sr. School ","Barclay Mission Road/Red Light ",,2703,6
30288,"Paynesville Central Academy ","Red Light/ Freeway ",,3731,8
"Voting ",,,,,"General "
"Precinct ","COUNTY :MONTSERRADO ","ELECTORAL DISTRICT : 4 ",,,"Polling "
"Code ","Locality ","Address ","Voters ",,"Places"
30108,"Christian Home Ministries Church Int'l ","Omega Tower Community ",,1240,3
30109,"Omega Community Christian Academy ","Omega Tower Red Hill Community ",,815,2
30110,"Brighter Day Perparatory School ","Soul Clinic Road ",,1875,4
30111,"Soul Clinic Mission/Maggie Lampkins Institute Soul Clinic Community ",,,2158,5
30112,"Soul Clinic Mission/Maggie Lampkins Institute Soul Clinic Community ",,,2090,5
30113,"Kingdom Foundation Institute ","Soul Clinic/Moses Blah Community ",,1619,4
30114,"St. Samuel Elem .& Jr. High School ","Old Diamond Creek, Kemah Town ",,1595,4
30115,"S. Patrick Jallah School ","Old Field, Kemah Town ",,1664,4
30116,"Tomorrow People Foundation ","Soul Clinic Road ",,2004,5
30117,"Sammy M. Dukuly School ","Soul Clinic Right Side ",,1667,4
30119,"Seymour Grann School ","Duport Road ",,2043,5
30120,"Seymour Grann School ","Duport Road ",,1636,4
30122,"Rik-C Day Care, Nursery & Pre-School ","Duport Road ",,2059,5
30123,"Dave R. Inman Int'l School ","Duport Road North East/Mid Duport Road ",,983,2
30124,"Zinah Foundation School ","Cow Field/ Sharah Community Duport Road Sou ",,1014,3
30125,"Stronger Hope Central Academy ","Zubah Town Road Right ",,2007,5
30126,"Rev. Mother Sarah School System ","Duport Road North /Zubah Town ",,2947,6
30127,"William Bean Institute/World Wide ","Paynesville Central ",,1927,4
30128,"Nathan E. Gibson School ","Paynesville Road/Water Tower ",,2113,5
30129,"Nathan E. Gibson School ","Paynesville Road/Water Tower ",,2828,6
30278,"Whein Town Public School ","Whein Town Community ",,2253,5
30279,"Charles F. Caine School ","Bernard Farm/FDA Road ",,2149,5
"Voting ",,,,,"General "
"Precinct ","COUNTY :MONTSERRADO ",,"ELECTORAL DISTRICT : 5 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
30098,"Credit Union Building ",,"Pipe Line A ",2989,6
30121,"Paynesville Community School ",,"Joe Bar ",3209,7
30243,"Dyfater School ",,"12 Houses Road Community ",2229,5
30244,"Paynesville Town Hall ",,"Town Hall ",2876,6
30245,"Christ Miracle of Faith School System ",,"Police Academy ",3115,7
30246,"Bonner Memorial Christian Academy ",,"A.B Tolbert Road ",943,2
30247,"Sir Kerry St. Johnston School ",,"Police Academy/Inside ",1302,3
30248,"Repentence Baptist School ",,"Pagos Island ",2279,5
30284,"St. Mathew  Lutheran School ",,"Red Light ",3008,7
30285,"Victory Chapel School ",,"Red Light ",2668,6
30286,"Gayee Trade International School ",,"Opp. Victory Cgapel/Red Light ",3703,8
30287,"Kalita School ",,"Red Light/ Bassa Town ",3270,7
30289,"Seat of Wisdom School System ",,"72nd Community ",3096,7
30290,"Rock International School ",,"Red Light Road ",2678,6
30303,"James Kin Freeman Memorial School ",,"Swankamore/ S.K.D Boulevard ",2299,5
"Voting ",,,,,"General "
"Precinct ","COUNTY :MONTSERRADO ","ELECTORAL DISTRICT : 6 ",,,"Polling "
"Code ","Locality ","Address ",,"Voters ","Places"
30307,"Kendejah High School/Rehab ","Rehab Community ",,2253,5
30308,"Kendejah Community School ","Old Kendejah Community/ Beach ",,2030,5
30309,"Love A Child Ophanage Home ","Baptist Seminary  Communty,Kendejah ",,3020,7
30310,"Helen Teah Memory Christian Institute ","Borbor Town-Thinker Village ",,3246,7
30311,"Cavalry Chapel Mission School ","Borbor Town/RIA Road ",,2402,5
30312,"Solid Rock Christian School ","Opp. Golden Key, King Gray Community ",,2621,6
30313,"Sis. Kathleen McQuire Memorial Catholic High Rehab Cooper Farm ",,,1579,4
30319,"Broluco Christian School System ","Kpelle Town/ELWA ",,2999,7
30320,"David Gueh Memorial UMC ","GSA Road ",,2532,6
30321,"Mount Carmel Institute ","GSA Road ",,2703,6
30322,"Wilbel Foundation Elem. School- Rock Hill ","Rock Hill/ GSA Road ",,2044,5
30323,"Carver Mission School ","Opp. ELWA Compound ",,3135,7
30324,"Seventh Day Adventist School ","ELWA Junction ",,3666,8
30325,"Immanuel Christian Academy ","S.D. Cooper Road ",,3039,7
"Voting ",,,,,"General "
"Precinct ","COUNTY :MONTSERRADO ",,"ELECTORAL DISTRICT : 7 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
30047,"M.V. Massaquoi ",,"Central West Point ",1207,3
30048,"M.V. Massaquoi ",,"Central West Point ",1346,3
30049,"Our Lady Star of the Sea ",,"Central West Point ",443,1
30050,"Our Lady Star of the Sea ",,"Central West Point ",488,1
30106,"West Point Market ",,"Fish Town, West Point ",1514,4
30107,"John Kofi Asmeh UMC ",,"Fish Town, West Point ",588,2
30142,"West Point Administrative Building ",,"Grandcess Yard ",1217,3
30143,"West Point Administrative Building ",,"Grandcess Yard ",1549,4
30257,"West Point Catholic School ",,"Police Station/ West Point ",468,1
30258,"West Point Catholic School ",,"Police Station/ West Point ",734,2
30262,"Liberia Electricity Corporation Head Office ",,"Power Plant / West Point ",1908,4
30263,"Liberia Electricity Corporation Head Office ",,"Power Plant / West Point ",2609,6
30368,"Newport High School ",,"Randall - Newport Streets ",2299,5
30369,"Newport High School ",,"Randall - Newport Streets ",1696,4
30370,"Family Nursing Center ",,"Mamba Point ",1351,3
30371,"Cathedral Catholic School ",,"Ashmun Street ",2552,6
30372,"Cathedral Catholic School ",,"Ashmun Street ",2298,5
30373,"Good Samaritan School ",,"Mamba Point ",730,2
30374,"Godwin Prepartory School ",,"Manba Point ",1060,3
30375,"National Housing Bank ",,"Water Side ",1638,4
30376,"National Housing Bank ",,"Water Side ",1432,3
30421,"A.G.M. High School ",,"Buchanan Street ",1406,3
30422,"A.G.M. High School ",,"Buchanan Street ",1568,4
30423,"Sports Commission ",,"Sports Commission ",500,1
30424,"St. Samuel High School ",,"Center Street ",1287,3
30427,"J.L. Gibson School ",,"Gurley Street ",1269,3
30428,"J.L. Gibson School ",,"Gurley Street ",1266,3
30429,"St. Theresa Convent ",,"Lynch/Center Streets ",822,2
30430,"St. Theresa Convent ",,"Lynch/Center Streets ",653,2
30431,"J.J. Ross High School ",,"Ashmun Street ",1480,3
"Voting ",,,,,"General "
"Precinct ","COUNTY :MONTSERRADO ",,"ELECTORAL DISTRICT : 8 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
30347,"William V.S. Tubman High School ",,"12st. Street, Sinkor ",1324,3
30348,"William V.S. Tubman High School ",,"12st. Street, Sinkor ",1879,4
30350,"William C. Jones School ",,"11th. Street, Sinkor ",1277,3
30351,"Nancy B. Doe Jorkpen Town Market ",,"Plumkor ",2739,6
30352,"Christ & Selina Hook Memorial School ",,"Plumkor ",1542,4
30353,"Vision Academy ",,"Saye Town ",1681,4
30354,"ACFI Building ",,"5th. Street, Sinkor ",950,2
30355,"Monrovia Free Pentecostal School ",,"10th. Street, Sinkor ",1359,3
30359,"Lorma Quarter Elem. School ",,"Buzzi Quarters ",1152,3
30360,"Lorma Quarter Elem. School ",,"Buzzi Quarters ",1219,3
30361,"Bassa Community High School ",,"Bassa Community ",1933,4
30362,"New Jeruselam School ",,"Jallah Town ",1607,4
30363,"University of Liberia Monrovia Campus ",,"University of Liberia Main Campus ",494,1
30364,"University of Liberia Monrovia Campus ",,"University of Liberia Main Campus ",1052,3
30407,"Monrovia Demonstration Elem. School ",,"Clay Street ",1598,4
30408,"Monrovia Demonstration Elem. School ",,"Clay Street ",1300,3
30409,"G.W. Gibson High School ",,"Capital By-Pass ",2136,5
30410,"G.W. Gibson High School ",,"Capital By-Pass ",2279,5
30411,"Y.M.C.A Building ",,"Crown Hill ",598,2
30412,"Y.M.C.A Building ",,"Crown Hill ",636,2
30413,"Slipway Elementary School ",,"Slipway ",1954,4
30414,"Brighter Star International School ",,"Rock Spring Valley ",581,2
30415,"C.D. King Elem. School ",,"Camp Johnson Road ",1520,4
30416,"C.D. King Elem. School ",,"Camp Johnson Road ",1368,3
30417,"Soniwein Community Public School ",,"Soniwein Community ",2797,6
30425,"Rally Time Market ",,"BTC Area ",1872,4
30426,"Rally Time Market ",,"BTC Area ",1988,4
"Voting ",,,,,"General "
"Precinct ","COUNTY :MONTSERRADO ",,"ELECTORAL DISTRICT : 9 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
30240,"Apostlic Building Foundation School ",,"Oldest Congo Town ",1450,3
30349,"A. Gienn Jr. High School ",,"12st. Street, Sinkor ",1200,3
30378,"Lutheran International School System ",,"Raymond Field /Fiama ",1426,3
30379,"H.B. William Royal School ",,"Vamoma Community ",964,2
30380,"Barnes Foundation School ",,"Central Lakpazee ",1639,4
30381,"Barnes Foundation School ",,"Central Lakpazee ",1381,3
30382,"Building for Tomorrow School ",,"Central Lakpazee ",916,2
30383,"Building for Tomorrow School ",,"Central Lakpazee ",995,2
30384,"Nancy B. Doe Public School ",,"Old Matad ",1121,3
30385,"Nancy B. Doe Public School ",,"Old Matad ",1000,2
30386,"SOS Children Village ",,"Old Matad ",789,2
30387,"SOS Children Village ",,"Old Matad ",585,2
30388,"Emmanuel Temper School ",,"Old GSA Yard, 24th Street ",1359,3
30389,"Bright Stone Academy ",,"Gbangaye Town ",2039,5
30390,"Wroto Town God of Mercy School ",,"Wroto Town ",2011,5
30392,"Fiama Community School ",,"Fiama ",966,2
30393,"Fiama Community School ",,"Fiama ",921,2
30394,"Fiama Calvary Baptist School ",,"Fiama ",872,2
30395,"Fiama Calvary Baptist School ",,"Fiama ",884,2
30396,"Philip Perparatory School ",,"ICA Community ",1273,3
30397,"Philip Perparatory School ",,"ICA Community ",1250,3
30398,"St. Peter Lutheran School ",,"14th Street, Sinkor ",962,2
30399,"St. Peter Lutheran School ",,"14th Street, Sinkor ",809,2
30400,"Smythe institue ",,"16th Street, Sinkor ",1935,4
30401,"Calvary Baptish School ",,"17th Street, Sinkor ",1291,3
30402,"ACFI Lacy Kofi Memorial Academy ",,"People United Comm., 20th Street ",1398,3
30403,"St. Mark School ",,"Sinkor Airfield Community ",1636,4
30404,"New Matadi Community School ",,"New Matadi ",2364,5
30405,"Child Foundation Academy ",,"Fiama ",1184,3
30406,"Don Bosco Youth Center ",,"New Matadi ",2213,5
"Voting ",,,,,"General "
"Precinct ","COUNTY :MONTSERRADO ","ELECTORAL DISTRICT : 10 ",,,"Polling "
"Code ","Locality ","Address ",,"Voters ","Places"
